l,l1,p,a,a1,u,u1,id
"Freie Grundschule ""Regenbogen""","Fachschule für Technik, Fachrichtung Bautechnik und Sanitär,-Heizungs- und Klimatechnik  (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4451593-0,SN-4451593-0
"Freie Grundschule ""Regenbogen""","Fachschule für Technik, Fachrichtung Bautechnik und Sanitär,-Heizungs- und Klimatechnik  (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4451593-0,SN-4451593-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,"Fachschule für Technik, Fachrichtung Bautechnik und Sanitär,-Heizungs- und Klimatechnik  (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4451593-0,SN-4451593-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,"Fachschule für Technik, Fachrichtung Bautechnik und Sanitär,-Heizungs- und Klimatechnik  (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4451593-0,SN-4451593-0
Karl-Schubert-Schule,"Fachschule für Technik, Fachrichtung Bautechnik und Sanitär,-Heizungs- und Klimatechnik  (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4451593-0,SN-4451593-0
Karl-Schubert-Schule,"Fachschule für Technik, Fachrichtung Bautechnik und Sanitär,-Heizungs- und Klimatechnik  (Schule in freier Trägerschaft)",4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Dölitz-Dösen,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4451593-0,SN-4451593-0
"Freie Grundschule ""Regenbogen""",Berufsfachschule für Pflegehilfe    (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4452611-0,SN-4452611-0
"Freie Grundschule ""Regenbogen""",Berufsfachschule für Pflegehilfe    (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4452611-0,SN-4452611-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Berufsfachschule für Pflegehilfe    (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4452611-0,SN-4452611-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Berufsfachschule für Pflegehilfe    (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4452611-0,SN-4452611-0
Karl-Schubert-Schule,Berufsfachschule für Pflegehilfe    (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4452611-0,SN-4452611-0
Karl-Schubert-Schule,Berufsfachschule für Pflegehilfe    (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4452611-0,SN-4452611-0
"Freie Grundschule ""Regenbogen""",Berufsfachschule für medizinische Dokumentation   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4451068-0,SN-4451068-0
"Freie Grundschule ""Regenbogen""",Berufsfachschule für medizinische Dokumentation   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4451068-0,SN-4451068-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Berufsfachschule für medizinische Dokumentation   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4451068-0,SN-4451068-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Berufsfachschule für medizinische Dokumentation   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4451068-0,SN-4451068-0
Karl-Schubert-Schule,Berufsfachschule für medizinische Dokumentation   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4451068-0,SN-4451068-0
Karl-Schubert-Schule,Berufsfachschule für medizinische Dokumentation   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 15 04279 Leipzig OT Zentrum-Ost,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4451068-0,SN-4451068-0
Lene-Voigt-Oberschule,Wilhelm-Ostwald-Schule - Gymnasium der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 11",Willi-Bredel-Straße 15 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Lene-Voigt-OS,http://jedeschule.de/SN-4440442-0,SN-4440442-0
Lene-Voigt-Oberschule,Wilhelm-Ostwald-Schule - Gymnasium der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 11",Willi-Bredel-Straße 15 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Lene-Voigt-OS,http://jedeschule.de/SN-4440442-0,SN-4440442-0
Wilhelm-Ostwald-Gymnasium,Wilhelm-Ostwald-Schule - Gymnasium der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 13",Willi-Bredel-Straße 15 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Ostwald-Gym,http://jedeschule.de/SN-4440442-0,SN-4440442-0
Wilhelm-Ostwald-Gymnasium,Wilhelm-Ostwald-Schule - Gymnasium der Stadt Leipzig,4279,"Leipzig, Willi-Bredel-Straße 13",Willi-Bredel-Straße 15 04279 Leipzig OT Lößnig,http://leipzig-data.de/Data/Schule/Ostwald-Gym,http://jedeschule.de/SN-4440442-0,SN-4440442-0
"Freie Grundschule ""Regenbogen""",Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412722-0,SN-4412722-0
"Freie Grundschule ""Regenbogen""",Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412722-0,SN-4412722-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412722-0,SN-4412722-0
Deutsche Private Finanzakademie (DPFA) GmbH Sachsen,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/DPFA-Berufsschule,http://jedeschule.de/SN-4412722-0,SN-4412722-0
Karl-Schubert-Schule,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412722-0,SN-4412722-0
Karl-Schubert-Schule,Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 4",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Schubert-GS,http://jedeschule.de/SN-4412722-0,SN-4412722-0
"Freie Grundschule ""Regenbogen""",Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412722-1,SN-4412722-1
"Freie Grundschule ""Regenbogen""",Karl Schubert Schule Leipzig -Freie Waldorfschule   (Schule in freier Trägerschaft),4279,"Leipzig, Raschwitzer Straße 15",Raschwitzer Straße 4 04279 Leipzig OT Connewitz,http://leipzig-data.de/Data/Schule/Regenbogen-GS,http://jedeschule.de/SN-4412722-1,SN-4412722-1
