u,l,a,i
http://leipzig-data.de/Data/Schule/NaSch,Nachbarschaftsschule,http://leipzig-data.de/Data/04177.Leipzig.Gemeindeamtsstrasse.8,SN-4412052-1
http://leipzig-data.de/Data/Schule/NaSch,Nachbarschaftsschule,http://leipzig-data.de/Data/04177.Leipzig.Gemeindeamtsstrasse.8,SN-4412052-2
http://leipzig-data.de/Data/Schule/Neruda-GS,Pablo-Neruda-Schule,http://leipzig-data.de/Data/04103.Leipzig.Tarostrasse.6,SN-4412466-0
http://leipzig-data.de/Data/Schule/Rabet-GS,Schule am Rabet,http://leipzig-data.de/Data/04315.Leipzig.Eisenbahnstrasse.50,SN-4412235-0
http://leipzig-data.de/Data/Schule/Regenbogen-GS,Freie Grundschule "Regenbogen",http://leipzig-data.de/Data/04279.Leipzig.RaschwitzerStrasse.15,SN-4412631-0
http://leipzig-data.de/Data/Schule/Ringelnatz-GS,Joachim-Ringelnatz-Schule,http://leipzig-data.de/Data/04209.Leipzig.GruenauerAllee.35,SN-4412128-0
http://leipzig-data.de/Data/Schule/Scholl-GS,Geschwister-Scholl-Schule,http://leipzig-data.de/Data/04155.Leipzig.Elsbethstrasse.1,SN-4411989-0
http://leipzig-data.de/Data/Schule/Schubert-GS,Karl-Schubert-Schule,http://leipzig-data.de/Data/04279.Leipzig.RaschwitzerStrasse.4,SN-4412722-0
http://leipzig-data.de/Data/Schule/Schubert-GS,Karl-Schubert-Schule,http://leipzig-data.de/Data/04279.Leipzig.RaschwitzerStrasse.4,SN-4412722-1
http://leipzig-data.de/Data/Schule/Schubert-GS,Karl-Schubert-Schule,http://leipzig-data.de/Data/04279.Leipzig.RaschwitzerStrasse.4,SN-4412722-2
http://leipzig-data.de/Data/Schule/Schumann-GS,Freie Grundschule "Clara Schumann" Leipzig,http://leipzig-data.de/Data/04103.Leipzig.Inselstrasse.18,SN-4412557-0
http://leipzig-data.de/Data/Schule/Seehausen-GS,Schule Seehausen,http://leipzig-data.de/Data/04356.Leipzig.SeehausenerAllee.17,SN-4410650-0
http://leipzig-data.de/Data/Schule/Stahmeln-GS,Schule Stahmeln,http://leipzig-data.de/Data/04159.Leipzig.StahmelnerHoehe.1,SN-4410668-0
http://leipzig-data.de/Data/Schule/Wander-GS,Wilhelm-Wander-Schule,http://leipzig-data.de/Data/04315.Leipzig.Schulze-Delitzsch-Strasse.23,SN-4412425-0
http://leipzig-data.de/Data/Schule/Wiederitzsch-GS,Grund- und Oberschule Wiederitzsch,http://leipzig-data.de/Data/04158.Leipzig.ZurSchule.11,SN-4430310-0
http://leipzig-data.de/Data/Schule/Zeigner-GS,Erich-Zeigner-Schule,http://leipzig-data.de/Data/04229.Leipzig.Erich-Zeigner-Allee.24,SN-4452447-0
http://leipzig-data.de/Data/Schule/120-GS,120. Schule,http://leipzig-data.de/Data/04249.Leipzig.Martin-Herrmann-Strasse.1,
http://leipzig-data.de/Data/Schule/24-GS,24. Schule,http://leipzig-data.de/Data/04328.Leipzig.Doellingstrasse.25,
http://leipzig-data.de/Data/Schule/3-GS,3. Schule,http://leipzig-data.de/Data/04275.Leipzig.Bernhard-Goering-Strasse.107,
http://leipzig-data.de/Data/Schule/33-GS,33. Schule,http://leipzig-data.de/Data/04129.Leipzig.AnhalterStrasse.1,
http://leipzig-data.de/Data/Schule/78-GS,78. Schule,http://leipzig-data.de/Data/04207.Leipzig.BinzerStrasse.14,
http://leipzig-data.de/Data/Schule/9-GS,9. Schule,http://leipzig-data.de/Data/04279.Leipzig.Gersterstrasse.74,
http://leipzig-data.de/Data/Schule/A-Kaestner-GS,Alfred-Kästner-Schule,http://leipzig-data.de/Data/04158.Leipzig.Gartenwinkel.30,
http://leipzig-data.de/Data/Schule/Auguste-GS,Grundschule Auguste,http://leipzig-data.de/Data/04318.Leipzig.GrueneGasse.21B,
http://leipzig-data.de/Data/Schule/Auwald-GS,Schule am Auwald,http://leipzig-data.de/Data/04229.Leipzig.Roedelstrasse.6,
http://leipzig-data.de/Data/Schule/Froebel-GS,Friedrich-Fröbel-Schule,http://leipzig-data.de/Data/04209.Leipzig.MannheimerStrasse.128C,
http://leipzig-data.de/Data/Schule/GS-Marienbrunn,Marienbrunner Schule,http://leipzig-data.de/Data/04277.Leipzig.AnderMaerchenwiese.49,
http://leipzig-data.de/Data/Schule/Grimm-GS,Brüder-Grimm-Schule,http://leipzig-data.de/Data/04329.Leipzig.Goldsternstrasse.23,
http://leipzig-data.de/Data/Schule/Gundorf-GS,Schule Gundorf,http://leipzig-data.de/Data/04178.Leipzig.LeipzigerStrasse.210,
http://leipzig-data.de/Data/Schule/Hauff-GS,Wilhelm-Hauff-Schule,http://leipzig-data.de/Data/04159.Leipzig.Diderotstrasse.37,
http://leipzig-data.de/Data/Schule/Liebknecht-GS,Karl-Liebknecht-Schule,http://leipzig-data.de/Data/04157.Leipzig.Heinrich-Mann-Strasse.1,
http://leipzig-data.de/Data/Schule/Miltitz-GS,Schule Miltitz,http://leipzig-data.de/Data/04205.Leipzig.GrossmiltitzerStrasse.4,
http://leipzig-data.de/Data/Schule/Moelkau-Schule,Oberschule Mölkau,http://leipzig-data.de/Data/04316.Leipzig.Schulstrasse.6,
http://leipzig-data.de/Data/Schule/Oeser-GS,Adam-Friedrich-Oeser-Schule,http://leipzig-data.de/Data/04129.Leipzig.Geibelstrasse.74,
http://leipzig-data.de/Data/Schule/Portitz-Schule,Oberschule Portitz,http://leipzig-data.de/Data/04349.Leipzig.Licidestrasse.12,
http://leipzig-data.de/Data/Schule/Robeson-Schule,Paul-Robeson-Schule,http://leipzig-data.de/Data/04159.Leipzig.Jungmannstrasse.5,
http://leipzig-data.de/Data/Schule/Rueckmarsdorf-GS,Schule Rückmarsdorf,http://leipzig-data.de/Data/04178.Leipzig.AnderFriedenseiche.4,
